place_name,count,description,uri,longitude,latitude
Verona,1,Verona was an ancient settlement that became a Roman colonia in 89 BC and a municipium in 49 BC.,https://pleiades.stoa.org/places/383816,10.995736005074,45.44212954633693
Rome,27,The capital of the Roman Republic and Empire.,https://pleiades.stoa.org/places/423025,12.486137,41.891775
Ravenna,3,A city of northern Adriatic Italy that served as the capital of the Western Roman Empire from A.D. 402 until 476.,https://pleiades.stoa.org/places/393480,12.196604,44.415718
Sarmatia,2,"An ancient place, cited: BAtlas 84 E3 Sarmatia",https://pleiades.stoa.org/places/825371,39.5,45.5
Marcianopolis,1,"An ancient place, cited: BAtlas 22 E5 Marcianopolis",https://pleiades.stoa.org/places/216878,27.585033,43.22504
Tarragona,1,An Iberian site in contact with Greek and Phoenician merchants that became a major Roman center from the third century BC onward.,https://pleiades.stoa.org/places/246349,1.2583375,41.116892
Milan,1,"A Celtic settlement and crossroads, later a Western Roman capital. Now modern Milan, Italy.",https://pleiades.stoa.org/places/383706,9.18806,45.463746
Macedonia,1,"The region of ancient Macedonia in the Balkan peninsula. The boundaries of the region have shifted significantly over time, and remain controversial.",https://pleiades.stoa.org/places/491656,21.75,41.25
Trebizond,3,An ancient settlement of Asia Minor on the south coast of the Black Sea. Modern Trabzon in Turkey.,https://pleiades.stoa.org/places/857359,39.7233115,41.0042695
Pontus,3,A region of northeastern Anatolia consisting of the southeastern coast of the Black Sea and the surrounding inland region. ,https://pleiades.stoa.org/places/857287,34.7425505,43.0786852
Chalcedon,3,Chalcedon was an ancient maritime city of Bithynia.,https://pleiades.stoa.org/places/520988,29.025789,40.983393
Nicomedia,2,Nicomedia was founded in 712/11 BC as a Megarian colony named Astacus and was rebuilt by Nicomedes I of Bithynia in 264 BC. The city was an important administrative center of the Roman Empire.,https://pleiades.stoa.org/places/511337,29.919887000000003,40.7651905
Prusa,1,"Settlement at Prusa began as a site called Cius that came under the control of the king of Bithynia in 202 BC. The city was renamed Prusias and was eventually willed to the Roman Empire in 74 BC by Nicomedes IV, the last King of Bithynia.",https://pleiades.stoa.org/places/511384,29.0638185,40.1828985
Cius,1,"An ancient place, cited: BAtlas 22 F4 Cius",https://pleiades.stoa.org/places/216770,28.09352,44.77792
Cyzicus,3,An ancient city of Mysia in Anatolia. ,https://pleiades.stoa.org/places/511218,27.883191,40.3855645
Heraclea,1,Heraclea was an ancient city of Magna Graecia.,https://pleiades.stoa.org/places/452333,16.669884999999997,40.2117761
Piraeus,2,"The ancient, fortified port settlement (and deme) of ancient Athens.",https://pleiades.stoa.org/places/580062,23.6450325,37.9377025
Athens,7,A major Greek city-state and the principal city of Attika. Modern Athens in Greece.,https://pleiades.stoa.org/places/579885,23.72274610172613,37.972633872615816
Thebes,1,The ancient city of Thebes in Boeotia (modern Greece).,https://pleiades.stoa.org/places/541138,23.317577,38.319156
Argos,1,Argos was a city of ancient Greece that reached its cultural highpoint under Pheidon in the seventh century BC.,https://pleiades.stoa.org/places/570106,22.719464,37.631561
Corinth,1,"The ancient Greek and Roman city of Corinth, located in the Peloponnese, Greece. Also known today as Archaia Korinthos and not to be confused with the nearby modern town.",https://pleiades.stoa.org/places/570182,22.880841392506643,37.90632916439714
Sparta,1,Sparta was a prominent city-state (polis) of ancient Greece.,https://pleiades.stoa.org/places/570685,22.4272985,37.077905
Epirus,1,An ancient region that included northwest parts of modern Greece and the southern tip of modern Albania.,https://pleiades.stoa.org/places/530871,20.78770214112808,39.54648401662415
Anchialus,1,"An ancient place, cited: BAtlas 22 E6 Anchialus",https://pleiades.stoa.org/places/216702,27.641374,42.555937
Carrhae,1,"Carrhae is a major settlement of Upper Mesopotamia from the Bronze Age onward. The earliest mentions of the site are found in the Ebla tablets (ca. 2300 B.C.). Notably the location of the Battle of Carrhae between the Roman Republic and Parthian Empire in 53 B.C., which proved to be a devastating defeat for the Romans. Modern-day Ḥarrān, Turkey.",https://pleiades.stoa.org/places/658427,39.03003798386943,36.86457797605201
Cilicia,3,"An ancient region, stretching along the southern coast of Asia Minor as far north as the Taurus mountains and westward from the Amanus mountains to the river Melas or, according to some ancient commentators, all the way to the coastal city of Korakesion (modern Alanya in Turkey)",https://pleiades.stoa.org/places/658440,33.25,36.25
Chalcis,1,"An ancient place, cited: BAtlas 55 F4 Chalcis",https://pleiades.stoa.org/places/540703,23.621937,38.457139
Palmyra,2,"An ancient oasis and trading city with monumental remains, located in modern Syria. Under Zenobia, Palmyra was the capital of the breakaway Palmyrene Empire, leading to Aurelian's razing of the city. Inscribed as a UNESCO World Heritage Site in 1980.",https://pleiades.stoa.org/places/668331,38.26707224649138,34.551307498805215
Arras,1,Nemetacum was the principal center of the Atrebates.,https://pleiades.stoa.org/places/109194,2.778586,50.2927655
Illyricum,1,Illyricum was a Roman province that existed from 167 BC until AD 10.,https://pleiades.stoa.org/places/481865,17.965028033333333,42.427291800000006
Achaia,1,An ancient Greek region on the northern coast of the Peloponnese. ,https://pleiades.stoa.org/places/570028,22.224585911364017,38.102121472776034
Sicily,4,"Sicily is the largest island in the Mediterranean Sea and has been the site of human habitation since ca. 8,000 BC. In historical terms Sicily has seen important settlement activity connected to numerous culture groups - Punic, Carthaginian, Greek, Roman, Vandalic, Ostrogothic, Byzantine, Arabic, and Norman.",https://pleiades.stoa.org/places/462492,13.932017688866832,37.64329684051015
Arabia,1,A Roman province founded under Trajan shortly after 22 March 106 CE. It included the territory to the east of the Jordan river and the Sinai peninsula to the Red Sea. ,https://pleiades.stoa.org/places/981506,32.5,27.5
India,1,"An ancient place, cited: BAtlas 5 D2 India",https://pleiades.stoa.org/places/50004,77.5,22.5
